title,description,instructions,type,mobile,width,height,url,game_id,iframe_url,embed_code,thumb
Archer Go,"Endless arrows, endless fun! Get ready for a thrilling endless game that will put your archery skills to the test. Travel through a fantastic landscape with your bow, aiming at targets along the way. Keep playing, earn points and unlock exciting customization options.
","The game features simple and intuitive controls: tap, hold and release to shoot arrows. Your goal is to aim precisely and hit the target. As you play, you can unlock and customize different skins for your archer and targets. Keep shooting, challenge yourself and set new high scores!
",html5,false,800,600,https://html5.gamedistribution.com/bcbd1517d72f430a81c903116126cbfd/,bcbd1517d72f430a81c903116126cbfd,https://html5.gamedistribution.com/bcbd1517d72f430a81c903116126cbfd/,"<iframe src=""https://html5.gamedistribution.com/bcbd1517d72f430a81c903116126cbfd/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/bcbd1517d72f430a81c903116126cbfd-512x384.jpg
Ellie And Friends Art Bloom Aesthetic,"Ellie And Friends Art Bloom Aesthetic is all about exploring creativity through unique fashion and art! Dress them up in colorful outfits, mix and match funky accessories, and dive into the world of artistic expression. From painting and drawing to choosing the perfect look, this game lets you celebrate individuality and artistic flair with Ellie and her friends. Get ready to unleash your inner artist!",Left Mouse button click or Tap to play,html5,false,800,600,https://html5.gamedistribution.com/844af8aeeed242dda25645a09013ac8f/,844af8aeeed242dda25645a09013ac8f,https://html5.gamedistribution.com/844af8aeeed242dda25645a09013ac8f/,"<iframe src=""https://html5.gamedistribution.com/844af8aeeed242dda25645a09013ac8f/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/844af8aeeed242dda25645a09013ac8f-512x384.jpg
Kingdom match,"Kingdom match is a competitive match-3 game with castle decoration options! Complete levels, compete with other players and build the best castle!",Collect objects of the same color in a row and complete tasks in the levels! Complete as many levels as possible to get ahead of other players!,html5,false,800,600,https://html5.gamedistribution.com/2a19100d0eae469e8e61d8ee7697cb6c/,2a19100d0eae469e8e61d8ee7697cb6c,https://html5.gamedistribution.com/2a19100d0eae469e8e61d8ee7697cb6c/,"<iframe src=""https://html5.gamedistribution.com/2a19100d0eae469e8e61d8ee7697cb6c/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/2a19100d0eae469e8e61d8ee7697cb6c-512x384.jpg
Catch The Goose,"Catch The Goose is a puzzle elimination mini-game. Players can tap identical items to automatically send them to the bottom slot - when three matching items gather, they get eliminated. When players successfully clear all items arranged in the grid, they get to ""catch"" a mischievous goose. Its addictive simplicity, stress-relieving design, and playful art style have made it a cultural phenomenon.","1. Tap three identical items to eliminate them.
​2. Complete all eliminations to capture the goose.
​3. Use power-ups (e.g., Add Slot or Shuffle) for tricky levels.",html5,false,360,640,https://html5.gamedistribution.com/698157ec8128471e91e2f32e4bc350ee/,698157ec8128471e91e2f32e4bc350ee,https://html5.gamedistribution.com/698157ec8128471e91e2f32e4bc350ee/,"<iframe src=""https://html5.gamedistribution.com/698157ec8128471e91e2f32e4bc350ee/"" width=""360"" height=""640"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/698157ec8128471e91e2f32e4bc350ee-200x120.jpg
Diamond mosaic,Ready to create your own masterpiece from a scattering of diamonds on your screen? Come to our mosaic!  Fill images with diamond scatter!,"Instructions:

1. Choose a picture that you like
2. With a pen, apply diamonds to the canvas, matching them to the desired numbers. Get shiny, brilliant images.

Controls:

On PC: click with the left mouse button
On mobile device: tap on the game elements on the touch screen.",html5,false,800,600,https://html5.gamedistribution.com/fa525c7020fb4e848fb3b18a850fb773/,fa525c7020fb4e848fb3b18a850fb773,https://html5.gamedistribution.com/fa525c7020fb4e848fb3b18a850fb773/,"<iframe src=""https://html5.gamedistribution.com/fa525c7020fb4e848fb3b18a850fb773/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/fa525c7020fb4e848fb3b18a850fb773-512x512.jpg
Deep in the Lab - Chapter 1,"Deep in the Lab is 2D '90 style survival horror game, with old style pre-rendered backgrounds, puzzles to solve, keys to collect, monster to avoid or defeat (your choice), poor resources, jumpscares, limited saves, FMV and a five floors lab to explore.","AD Move left and right
P : Open/Close Menu
M : Open Map
ESC: Options Menu / Skip Video
E: Interact / Use / Open Door
CTRL: Draw / Undraw Weapon
Left Click: Attack/Shoot
Right Click: Roll ",html5,false,800,450,https://html5.gamedistribution.com/9ff20769f2ba48a895d377bd3b1cdbd0/,9ff20769f2ba48a895d377bd3b1cdbd0,https://html5.gamedistribution.com/9ff20769f2ba48a895d377bd3b1cdbd0/,"<iframe src=""https://html5.gamedistribution.com/9ff20769f2ba48a895d377bd3b1cdbd0/"" width=""800"" height=""450"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/9ff20769f2ba48a895d377bd3b1cdbd0-512x384.jpg
Flight Sim Air Traffic control,"Flight Sim is a game where you have to guide aircraft to their landing zones, keep the skies safe to complete the levels to get high score.","How To Play:
Guide planes and helicopters in to runway by drawing the paths
Don’t crash and complete the level to get high score",html5,false,800,600,https://html5.gamedistribution.com/597826c7d8aa45bfba877cc4c05a4d5c/,597826c7d8aa45bfba877cc4c05a4d5c,https://html5.gamedistribution.com/597826c7d8aa45bfba877cc4c05a4d5c/,"<iframe src=""https://html5.gamedistribution.com/597826c7d8aa45bfba877cc4c05a4d5c/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/597826c7d8aa45bfba877cc4c05a4d5c-512x512.jpg
Pet Tile Master,"Enjoy a fun pet-themed tile-matching challenge in Pet Tile Master! Draw up to 9 tiles featuring adorable pets and match three identical ones to clear them. Be careful—if the stack fills up with 9 tiles, the game is over! Use smart moves to uncover hidden tiles and complete each level. Have fun with cute animals, relaxing gameplay, and tricky puzzles!","Tap or click to pick a tile and place it in the stack. Match three identical tiles to clear them—if the stack reaches 9 tiles, the game is over!",html5,false,1280,720,https://html5.gamedistribution.com/9bb23e5f7308446b9f99d2d17403a0cc/,9bb23e5f7308446b9f99d2d17403a0cc,https://html5.gamedistribution.com/9bb23e5f7308446b9f99d2d17403a0cc/,"<iframe src=""https://html5.gamedistribution.com/9bb23e5f7308446b9f99d2d17403a0cc/"" width=""1280"" height=""720"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/9bb23e5f7308446b9f99d2d17403a0cc-512x384.jpg
Downhill Car Ride: Crash Test,"Put on a real destructive show!

Forget about safety, in this game you need to check how strong the dummy is. At your disposal is a huge pile of dummies, an abandoned town, an incredibly huge arsenal and complete freedom of action! In this game you can check what will happen if you crash a motorcycle at full speed into a house with dynamite or what will happen if you jump out of the car a second before the accident!","The entire location is filled with destructible objects, try to demolish as many buildings, trees, poles and other things as possible to earn more money.

Controls:

PC - to speed up, you need to quickly press the left mouse button on the playing area. To exit the car or jump, press the left mouse button on the corresponding icon.

Mobile - to speed up, you need to quickly press your finger on the playing area. To exit the car or jump, press your finger on the corresponding icon.",html5,false,800,600,https://html5.gamedistribution.com/ad3a92e5a9ee48e0914a056c037db7ba/,ad3a92e5a9ee48e0914a056c037db7ba,https://html5.gamedistribution.com/ad3a92e5a9ee48e0914a056c037db7ba/,"<iframe src=""https://html5.gamedistribution.com/ad3a92e5a9ee48e0914a056c037db7ba/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/ad3a92e5a9ee48e0914a056c037db7ba-512x384.jpg
Kingdom Cats,"Become friends with the King of Cats and build a whole kingdom together! Dive into a colorful, exciting world where you can fully demonstrate your creativity!","Your main task: Build a Kingdom!
Tap the screen to make your residents build the city!
Make improvements at every opportunity to speed up development!

Make sweet waffles for workers so they mine more stones!
Send builders to the mine to mine valuable ore!
Process the mined stones and get jewelry from them!
Pack all the loot into chests and send them for sale!
Sell the loot as expensively as possible!
Build new buildings and call new residents to get rich!",html5,false,800,600,https://html5.gamedistribution.com/206682eb20b54d449e1ceed2bdec1389/,206682eb20b54d449e1ceed2bdec1389,https://html5.gamedistribution.com/206682eb20b54d449e1ceed2bdec1389/,"<iframe src=""https://html5.gamedistribution.com/206682eb20b54d449e1ceed2bdec1389/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/206682eb20b54d449e1ceed2bdec1389-512x512.jpg
Graduation Makeup Trends,"Discover the latest makeup trends with our Graduation Makeup Trends game! From bold and fierce to soft and elegant, this game offers a variety of makeup options to suit your style. We bring 3 BFFs, each with a unique style, many makeup options, stunning dresses, and accessories for your inspiration. Mixed with floral printed dresses, golden jewelry, and holographic accessories, in the Graduation Makeup Trends game, you will find everything you need to help these girls make a statement. ",Use your mouse to play this game.,html5,false,1024,768,https://html5.gamedistribution.com/761169e0288b433f8f8ddcd27da627e5/,761169e0288b433f8f8ddcd27da627e5,https://html5.gamedistribution.com/761169e0288b433f8f8ddcd27da627e5/,"<iframe src=""https://html5.gamedistribution.com/761169e0288b433f8f8ddcd27da627e5/"" width=""1024"" height=""768"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/761169e0288b433f8f8ddcd27da627e5-512x384.jpg
Build A Queen 2025,"In Build a Queen 2025, you will embark on a fun journey to become a real queen. You will need to make your way through different platform levels with your opponents. Choose outfits, skin colors, and more according to your goals. Dress up in the most glamorous queen look, meet the prince, and win. You can collect money to unlock more dance steps.","Mouse click or tap to play
",html5,false,1920,1080,https://html5.gamedistribution.com/afe7120d0fc64627903ecb9eda436956/,afe7120d0fc64627903ecb9eda436956,https://html5.gamedistribution.com/afe7120d0fc64627903ecb9eda436956/,"<iframe src=""https://html5.gamedistribution.com/afe7120d0fc64627903ecb9eda436956/"" width=""1920"" height=""1080"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/afe7120d0fc64627903ecb9eda436956-512x384.jpg
Happy Blocks,"Happy Blocks - Fun Puzzle Game for Everyone!

? Dive into the colorful world of Happy Blocks!
Arrange and clear the blocks smartly to conquer challenging levels.
Tap, move, and stack your way to the highest score!
Can you solve them all?

",Drag to move,html5,false,800,600,https://html5.gamedistribution.com/904bc37384d64d90bd310319fee5d0db/,904bc37384d64d90bd310319fee5d0db,https://html5.gamedistribution.com/904bc37384d64d90bd310319fee5d0db/,"<iframe src=""https://html5.gamedistribution.com/904bc37384d64d90bd310319fee5d0db/"" width=""800"" height=""600"" scrolling=""none"" frameborder=""0""></iframe>",https://img.gamedistribution.com/904bc37384d64d90bd310319fee5d0db-512x384.jpg
